,textID,text,selected_text,sentiment,class
16456,90a18b5971,"Ok, 4 Star Trek fans have given the new movie good reviews  getting very excited!!!",good,positive,2
23568,8fcb13f08d, and sorry that sounded like a 13 year old texting!!! Just tried TweetShrinking built into Tweed Deck  Just another cool feature.,and sorry that sounded like a 13 year old texting!!! Just tried TweetShrinking built into Tweed Deck  Just another cool feature.,neutral,1
7030,36f326e68a,_Trainr Thanks for the link.  It made me smile,made me smile,positive,2
14739,601586df5e,There are ants on my lollipop,There are ants on my lollipop,neutral,1
6962,6aef787d9a,Happy Mother`s Day.. To All The MommiiEs Owt Theaa... & ii Think ii Got Thaa Hang Of ThiiS ThiiNg.. Yay!!!,Happy,positive,2
7112,e2ab8995d1,Nooo...i forgot my calculator for physics   oh well class is allmost over :3,i forgot my calculator for physics,negative,0
17372,d57f0c90dd, hey handsome!  I`m packing,handsome!,positive,2
12689,2aff0dfbff,Homey missed da bus.,Homey missed da bus.,neutral,1
19495,66683a594b,Hoping my mom likes her pamper gifts I sent her,Hoping,positive,2
18949,46ab4d55dd,"just got home! LET US ALL BE CONNECTED WITH GOD, CONSTANTLY!","just got home! LET US ALL BE CONNECTED WITH GOD, CONSTANTLY!",neutral,1
24230,0ce8b5c83d,"Hi tweete, surprised to see everyone still up...maybe it`s the full moon",surprised,positive,2
25991,7135e56a77,spending the night with mom and Tommy.. just ordered Pizza Hut.. yum!,spending the night with mom and Tommy.. just ordered Pizza Hut.. yum!,positive,2
5796,c5c5d06607, Can`t wait to see it tonite!! should be hilarious,should be hilarious,positive,2
10861,c1c8fb88f8,"I`m a giver, and life rewards the takers.  We givers make takers possible, but we get no appreciation for what we do--we just get taken.","We givers make takers possible, but we get no appreciation for what we do--we just get taken.",negative,0
23148,84fc45d0c3,http://twitpic.com/4wah5 - haha that`s right,that`s right,positive,2
9145,f9f01177e8,upset.. friday night crying!,crying!,negative,0
538,0be8e9f2fd,Seems really quiet tonight...am jealous of those who are clearly having a more exciting life than me   Off to bed I think...,Seems really quiet tonight...am jealous of those who are clearly having a more exciting life than me   Off to bed I think...,neutral,1
26713,7e7452d16a,'how do you like them apples' is from the movie Rio Bravo. Good Will Hunting make a lot more sense now.,'how do you like them apples' is from the movie Rio Bravo. Good Will Hunting make a lot more sense now.,neutral,1
11278,900c3636cb, TOLD YOU!,TOLD YOU!,neutral,1
16632,9897e8abe2, or elope  I can`t wait to see the pictures of you in the dress. It will be breath taking,. It will be breath taking,positive,2
18211,729d721d36,is a lil sad bc I wont be able toeat a hot dog and Big Kahuna cookie sandwich at the Ranger game tonight!,sad,negative,0
4245,dbef5435a3," Hahaha! Is he snoring, too?",Hahaha!,positive,2
15245,6165985faa,_hope why?,_hope why?,neutral,1
7492,1200ed0bbf," Oh, that would be riveting TV!   Trips to the break room, coffee, toothpicks in the eyes to keep them open.",e riveting,positive,2
132,b495300bbf, those splinters look very painful...but you were being very heroic saving mr. Pickle,painful.,negative,0
26715,44fe2c9260,tired and all i want to do is play random songs on my gitwar but i have to do my drama essay.,tired an,negative,0
20482,1e9bcbdb0b,Don`t really wanna go school on Monday to be honest,Don`t really wanna go school on Monday to be honest,negative,0
22219,7ef06f7c67, Is beastypops tired? I wish i was. My tablets are just making me want to throw up!,just making me want to throw up!,negative,0
25648,d0f745da51,Running around town with Kathleen....she`s leaving me for a month..,Running around town with Kathleen....she`s leaving me for a month..,neutral,1
3789,3b7adf6a54,"Good morning Tweepsland! Makin` it a great Monday! Huge shout out to all my followers .. muah, muah! I appreciate you all",Good morning Tweepsland! Makin` it a great Monday!,positive,2
14731,395a5c0c9b,_MJA ..I don`t know who gon do the yelling & cussing for upgrades when u go.,I don`t know who gon do the yelling & cussing for upgrades when u go.,neutral,1
6491,21cf36a2fa,Happy Mother`s Day to all Mothers out there,Happy Mother`s Day to all Mothers out there,positive,2
7341,520b095b37,found six great vegan places to eat and relax at; four of which I can`t get to without a car,found six great vegan places to eat and relax at; four of which I can`t get to without a car,neutral,1
6155,1a447d48e7,wants to cool down,wants to cool down,positive,2
18026,4cae343799,just made a South-Korean email pal. Happy!,Happy!,positive,2
5547,49505e08de,"in case you missed it on my fb status: looking for maui hotel recommendations. yes, maui!",missed,negative,0
16609,e36a667a6f, Italy or greece for me  Love Italian men hehe ;),Love,positive,2
7189,49e54a6213,off to work for the day,off to work for the day,neutral,1
12567,59958ba890," I know it`s in HD, but Comcast doesn`t have it.","I know it`s in HD, but Comcast doesn`t have it.",neutral,1
25836,108ba6b6ab,Lunch isn`t until 1:00 but I`m already so hungry.,I`m already so hungry.,negative,0
23580,54a0f09d92," Oh, I see what you mean. That is true if they are used improperly, which we know they are.","Oh, I see what you mean. That is true if they are used improperly, which we know they are.",neutral,1
3936,4131e5218b,My sister just called... she`s officially in labor! Looks like Anna and Josie are getting a new cousin today!!  (And this one is a girl!),Looks like Anna and Josie are getting a new cousin today!!  (And this one is a girl!),positive,2
7631,aaddf3e471,_steph boo  I miss you! It`s been ages. Once I get Internet back I`ll try to fix ALO haha it likes to act up from time to time...,_steph boo  I miss you! It`s been ages. Once I get Internet back I`ll try to fix ALO haha it likes to act up from time to time...,neutral,1
438,a52203dd88,"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47DAYS TIL MCFLY, im so excited  (L)",excited,positive,2
3918,5ac55658f1, I heard your moving to Sydney next year im not happy,im not happy,negative,0
26005,0b3fe0ca78,  ?,?,neutral,1
26756,841f7a8ed7,Have a HUGE headache... don`t have asprin here at work.,Have a HUGE headache... don`t have asprin here at work.,negative,0
5140,59ecfedf99," Hey, where do you go last night?  Was expecting to see you @ On Broadway.","Hey, where do you go last night?  Was expecting to see you @ On Broadway.",neutral,1
18898,d2435b327f,Today is not going to be relaxing like I hoped.,Today is not going to be relaxing like I hoped.,negative,0
9500,dac50d957d, http://bit.ly/izhdy  here looove.,e looove.,positive,2
3853,575fcbb3b6, Have you met me? (lol) MY MIDDLE NAME IS CREEPY FGS,(lol),positive,2
24625,41d0879f9b,Bye twitter & FB world! I`m at the San Francisco airport ready to board Air China. Not sure if I`ll have Internet access,Not sure,negative,0
10795,2f06736b22, That`s better than Missy 8 telling me I should be on The Biggest Loser,s better,positive,2
21687,1a0531e6d2,I hate going to work on nights that I`m in micro.   At least I get to work with !,hate,negative,0
10995,9022cda7ad,Dang I just realized how bad my eyes have gotten,Dang,negative,0
25004,14657acc93,"wow, serious hard time sleeping. on a decongestant and its keeping me wide awake. I JUST WANNA SLEEP","wow, serious hard time sleeping. on a decongestant and its keeping me wide awake. I JUST WANNA SLEEP",negative,0
7217,eeaaa5e046, Brent Cross? wow! I live very close from there!,wow!,positive,2
643,f3a5b39195, Not available in my area  I would too,Not available in my area,negative,0
4286,11b830c864,My teratoma has a cavity and is experiencing male-pattern baldness,My teratoma has a cavity and is experiencing male-pattern baldness,negative,0
12663,6c433d002f, REALLY?  COOL!,COOL,positive,2
14454,81e43552c2,i totally do not know how ticketless travel works,i totally do not know how ticketless travel works,neutral,1
6107,184fc65131,with emma  going 2 see diversity today :O  x,with emma  going 2 see diversity today :O  x,neutral,1
998,a7b4ba7093,may the fourth be with you! happy star wars day,may the fourth be with you! happy star wars day,positive,2
19865,d2196f1f2d,"any legal studies/law students out there twitter? would love a couple of references to cases inolving bias juries, jury nullification etc",love,positive,2
10989,1d9751783e,Finishing up my last Friday at Olive Crest,Finishing up my last Friday at Olive Crest,neutral,1
9924,d8efea846d,Trying to figure out how to use Twitter.......I`m old,Trying to figure out how to use Twitter.......I`m old,neutral,1
6427,46eae5a601, yes i am and i was ready to go when i got here. ugh  and its sooo pretty outside..,ugh  and its sooo pretty outside..,positive,2
1008,181de1d263,"Laughing for no reason...maybe its because its 2:27 and I`m tired, haha. Maybe i should go to bed  Night!","I`m tired,",negative,0
15677,df5532b297, only you babe. <3,only you babe. <3,neutral,1
3884,137e007908,  My dog Nemo cause he wimpers every morning when I leave,My dog Nemo cause he wimpers every morning when I leave,neutral,1
15507,fa668afd56, You seem Cool,Cool,positive,2
537,8e26c8c6e8,I`m sick and sad .... missing out on Martini Lounge tonight,sick and sad ..,negative,0
9689,84bcf86d43,up at 4:30am west coast time..gettin ready to catch my flight back home..soooo excited to go back to my two fav boyzzzz  puppy n BF,soooo excited to go back to my two fav boyzzzz  puppy n BF,positive,2
16151,18148a9cfa,"...celebrated by spilling half my soup. Hello, 40 calorie lunch.    Can it be the weekend now, please?","...celebrated by spilling half my soup. Hello, 40 calorie lunch.    Can it be the weekend now, please?",neutral,1
18132,b8a8d1b9c4," Weird, suddenly blogtalkradio is giving me a domain not found error.  I was just on it 5 minutes ago!","Weird,",negative,0
22301,ab149f0093, - I will help  not sure how when i`m alllll the way over here haha but i can try  have alot of free time right now haha,I will help,positive,2
14113,4291725ecd, unusual for them,unusual for them,neutral,1
25731,818ac912a5," i`ll take a lookie, sound great",sound great,positive,2
20582,a6d79f3991, oh I love oreos!! U can`t get many varieties in the uk,love,positive,2
3096,b89e4b1146, Cool Guide.. My best Tip.. Do NOT Use Them Unless Absolutely Needed !!!,My best Tip.,positive,2
12333,e860bdc5ef,Dancing was alright todayy still doing Jai Ho!!,Dancing was alright to,positive,2
7036,61afaf21f8,"been working all day, finally relaxing!! i miss you","been working all day, finally relaxing!! i miss you",neutral,1
16722,69d827c054, hahahah Thank you  Feel the Love,hahahah Thank you  Feel the Love,positive,2
3193,1ee11e3186, Omg same here! They hurt so much,hurt,negative,0
27273,2fda44135c,"@ RyanSeacrest : hi there might be a problem as it says no stream online, wat`s not right?",problem,negative,0
1394,aea9b1ab34, and I`m really glad you were able to watch the game,glad,positive,2
17285,53907107b4,"do not go to moes mexican grill, it is TOO spicy!",it is TOO spicy!,negative,0
25997,634a6d8504,_sb I killed my furby tooo,killed,negative,0
18558,60684c8cf0,About to take a shower. Then see how annas doing,About to take a shower. Then see how annas doing,neutral,1
12476,d12199cfb8,"Actually I`ve been in here, holed up quite nicely, for hours. This is one of those times I regret never having married or gotten a cat","holed up quite nicely, for hours. This is one of those times I regret never having married or gotten a cat",neutral,1
9060,774687e979,  what good role models...  i like how yinz think!,what good role models,positive,2
8583,0b0e732b60,good morning. have to get ready to go to the hospital and get a cat scan. best wishes to you.,good morning. have to get ready to go to the hospital and get a cat scan. best wishes to you.,positive,2
19684,23c707b638,this is gonna sound really sad & depressing but I really really miss my uncle Sam,depressing,negative,0
25394,41d9fad711," -- No fair, I want a sticker but I just moved away from London","No fair,",negative,0
21039,0ff1b75e96,totally overstressed ... going to work now ... just want the college work to go away ... i don`t wanna fail,totally overstressed,negative,0
17379,7854deb3c9,Happy mothers day to all the mums!,Happy,positive,2
16154,b74a9b6a6b,I want to wish HAPPY MOTHER`S DAY to my two favorite moms in the world: My own mom of course  and my sister!!! HAPPY MOM`S DAY TO YOU TWO!,HAPPY MOM`S DAY TO YOU TWO!,positive,2
13282,8bf982f686,hand hurts,hand hurts,negative,0
15756,dcab430201,mozart requiem tonight,mozart requiem tonight,neutral,1
10640,7b70e1503c,"aww thats wikid, i need to book myne again sooon  miss you to lovely!! im off ned some brekkie.. speak soon dudde ****",miss you to lovely!!,positive,2
26944,ff9602ca61, Omg i`m on a one year work permit! Going home end of June...i`m really gna miss it   #canada,.i`m really gna miss it,negative,0
1795,e99514a382,"omds! holly steel, bless her!  x",bless her!,positive,2
7070,fbe782efb7, we should all be down to earth. don`t none of us walk on water  I`m just some **** nerd trying to find my way thru life lol,we should all be down to earth. don`t none of us walk on water  I`m just some **** nerd trying to find my way thru life lol,neutral,1
4928,d9fdc463f9,"so disappointed with human kind   'What`s wrong with the world?'  I have five girls in the garden, innocently enjoying the good weather...","so disappointed with human kind   'What`s wrong with the world?'  I have five girls in the garden, innocently enjoying the good weather..",neutral,1
24234,452b595a28," youre not going, are you   ?","youre not going, are you",neutral,1
22758,64381fbdd4,Roommate is sssnoring :/ And my throat is so dry,Roommate is sssnoring :/ And my throat is so dry,negative,0
23219,75c0586ee5,Ok so I`m **** hungry....!  I`m fat I know..I know..! Aha,Ok so I`m **** hungry....!  I`m fat I know..I know..! Aha,negative,0
9146,b6052e465f, me too baby... Miss you,Miss you,negative,0
21345,5fff42039a, ill come to the shop in like an hour. i need to get a pedicure but i dont have time today  probably next week tho!,ill come to the shop in like an hour. i need to get a pedicure but i dont have time today  probably next week tho!,neutral,1
1042,f83955956a,"i`m watching missing pieces, just coz the theme song is lost without you",lost,negative,0
20183,41341f5395,Massive morning.. I`m stuffed now,Massive morning.. I`m stuffed now,neutral,1
3740,900f178ec3,"In a lazy sunday; just had a very late lunch,and forget to buy PR,we`re on page 16","In a lazy sunday; just had a very late lunch,and forget to buy PR,we`re on page 16",neutral,1
1196,78c9fe7b1c," I should post some photos of my robots  ok - offline for 4 hours now. ttfn (oh, so IM...)","I should post some photos of my robots  ok - offline for 4 hours now. ttfn (oh, so IM...)",neutral,1
8343,2192d9c8ec," cheers mate, still getting over Wednesday  You ok? You should be, you are an incredibly wealthy man",", you are an incredibly wealthy man",positive,2
23762,4796a0be50,At Twin Peaks. High  Yay!,High  Yay!,positive,2
12852,6e9b9920f2,Oh no! I used my internal sig for an external e-mail  ****. #fb,****.,negative,0
1271,024b8d4b95, hahah! sadly there is no current activity though in the room,! sadly,negative,0
433,625feab260,Saw a black snake in the garden.  Went back for a picture and it was gone,Saw a black snake in the garden.  Went back for a picture and it was gone,neutral,1
2868,b7f7417fae,great party alenka!!  happy birthday chicky! <3,great party alenka!!  happy birthday chicky!,positive,2
5739,1a969de34e,":o Wow only just found out new xbox is called xbox720 , how did i not no im a geek ...",":o Wow only just found out new xbox is called xbox720 , how did i not no im a geek ...",neutral,1
13689,eea5fada1c," They actually use standard speaker wire between them too, with standard terminals, so no soldering involved or anything.",standard,positive,2
12781,c15ddf097f,I want to change my twitter name but I can`t think of anything,I want to change my twitter name but I can`t think of anything,neutral,1
9109,24bef2a55f, awesome RONIN121,awesome,positive,2
13335,c43a87bf6b, What kind of coach would I be if I didn`t read all your tweets?    Still waiting on an non-dried afro picture.,What kind of coach would I be if I didn`t read all your tweets?    Still waiting on an non-dried afro picture,neutral,1
24493,8f0c56cc05, The Disney Store is not treating me to well with hours  I realy want to go on 6/13. I willdo anythig to go to the show ;-),I willdo anythig to go to the show,positive,2
7742,637c61cb05," Yes, that would be pretty creepy. I think its all a bit more innocent than that, I think he just wants to sell some icecream","Yes, that would be pretty creepy. I think its all a bit more innocent than that, I think he just wants to sell some icecream",neutral,1
20261,f5d1b07ac1,I wanna talk to Mitchel Mussoooooo,I wanna talk to Mitchel Mussoooooo,neutral,1
26793,2a00259415," i think it was more the tigers crumbling. so not surprising at all, really ... lol ...","i think it was more the tigers crumbling. so not surprising at all, really ... lol ...",neutral,1
12674,85753403d0,"Beers & whiskey = awesomness, work in 8 hours = sourness","Beers & whiskey = awesomness, work in 8 hours = sourness",neutral,1
27033,0cd7f0143e," It`s on today`s menu, don`t worry",don`t worry,positive,2
6643,c45214ded3,"goodnight and good bye to all of you, hope you have the best of dreams",best of dreams,positive,2
21989,85285f3f21,Just checked email and got a follower withb same name as me living in Oz. Welcome on board my alrer ego ,Just checked email and got a follower withb same name as me living in Oz. Welcome on board my alrer ego,neutral,1
25815,13fc020e08,I forgot to put on sunblock before getting in the car,I forgot to put on sunblock before getting in the car,neutral,1
14570,7f3271c2c6,Just downloaded parnoid,Just downloaded parnoid,neutral,1
16482,d79d5d1ad1, Thanks twilight... i know we love canon,Thanks,positive,2
1666,906dda88e4," Smooches to you as well, have a great day!",great,positive,2
7531,617c2271c2,were playing at 7 @ club impact tomorrow! finally got shirts! woopity doo! i want a slurpeeee sooo bad right now,bad,negative,0
10347,527707dc25," thank you, god bless im going to eaat my in in out","thank you, god bless im going to eaat my in in out",positive,2
13848,a27cfe7e3d,"  I was seeing only one side of it, but it looked interesting.  And deep.",d interesting,positive,2
20880,bd90bf83dd,__Hell beeeeaaaaatooooo!!!!!,__Hell beeeeaaaaatooooo!!!!!,neutral,1
11543,93a1f2327a,"_xD Si  pero parece que las personas de facebook no estan de acuerdo  (that was probably all wrong, but I tried...)",I tried,negative,0
7201,37f201891f,just sending a twitter from the club! i twittered u,just sending a twitter from the club! i twittered u,neutral,1
23199,aa23a0ed45,"  Greetings Joan:  Just wanted to say I STILL MISS waking up to your pleasant personality & face in the a.m.    Hugs, Angel",ay I STILL MISS waking up to your pleasant personalit,positive,2
15149,77f00699ec,"all pugged in and ready to go. device updates on, so feel free to bombard me at any time.  Time to actually get something done.","all pugged in and ready to go. device updates on, so feel free to bombard me at any time.  Time to actually get something done.",neutral,1
22851,37f289badf,its sad that the rats are becoming aggressive against the guinea pigs. I have to seperate them.,its sad that the rats are becoming aggressive against the guinea pigs. I have to seperate them.,negative,0
3390,beb67b1e27,  NOooo FB has been good to me..especially for the love of conversation,e..especially for the love of conversation,positive,2
19775,bec5569381," lol I hear you, I think I watched about 2 - 3 different movies, when I should have been getting work done.  I`ll ttyl girl","lol I hear you, I think I watched about 2 - 3 different movies, when I should have been getting work done.  I`ll ttyl girl",neutral,1
7459,38c3dee100, I LOVE pb & banana sandwiches!! Still a fav of mine,LOVE,positive,2
3325,ee5eb5337b,"Heading to the gym.  The group of guys that USED to go with me has all quit...well, except for Brandon.   Makes me terribly sad",ly sa,negative,0
2613,582b22f32e, FANTASTIC IDEA.. you the man! but I`ll end up all lonely when the tourist goes home,FANTASTIC IDEA.. you the man! but I`ll end up all lonely when the tourist goes home,neutral,1
13062,124848e01c,"Nearly fell asleep, but was jolted out of bed by a massive panic attack and now I`m not sure if I can sleep at all.",panic,negative,0
2488,26bf7718ce,wow the weather is amazing today!,wow the weather is amazing today!,positive,2
3395,b805965f64,"Dlukasrossi Lukas- your amazing wife, her updates are locked! Hard to convince people to follow protected profiles,",amazing,positive,2
372,3696d1db81,comes home in two days,comes home in two days,neutral,1
7073,555bc264cd,"Love story on loop for the past 30 minutes. I love this song.. It makes me happy, like this!","happy,",positive,2
14306,abd42088e9,going to see star trek with my babe  im actually excited about this hah,excited,positive,2
25714,9878afadec,Trying to figure out how this works  ... BOO,Trying to figure out how this works  ... BOO,neutral,1
23508,897926a787, I don`t think they sale Ciroc where I stay..****..thats just my luck,.****.,negative,0
7208,82f9c283d4, #MusicMonday I agree it`s just an excuse for me to tweet music for hours on end,excuse,negative,0
13046,c5ba7bd4e5, cause theres no party,cause theres no party,neutral,1
15687,ef77fa3f54," wish we could have surprised them and gone to H, but just couldn`t work it out.","wish we could have surprised them and gone to H, but just couldn`t work it out.",neutral,1
11433,5ec44a8947,is frustrated by twitter...my picture will not load.,frustrated,negative,0
6961,2e63787399,Was supposeddd to hang out with al but her mommy wont let her  now what to dooo? Blah. Hahaha,but her mommy wont let her  now,negative,0
1524,e8d2a28b66,"Really missing hockey already.  Off for a night in Dtn Naperville.  Can`t wait for the day off tomorrow,  I have to work Sunday.",Really missing hockey already.,negative,0
5309,52ef5b2c09,is at the salon with my mom  happy mothers day mom!,happy mothers day mom!,positive,2
5049,50831b3f76,Nice sunny day,Nice sunny day,positive,2
7694,d46552aad6,Vacation over!!!  Looking forward to the next one........,Looking forward,positive,2
5632,b70b425ce7,is seventeen today  and is trekking from chorleywood to see    and  in cambridge  <3,is seventeen today  and is trekking from chorleywood to see    and  in cambridge,neutral,1
7069,d620074a4d,babysitting kids who won`t let me play wii with them,won`t let me play,negative,0
18404,e2c97d579f, what a cute dog,what a cute dog,positive,2
17440,931add5d49,Follow _joe he`s cool,cool,positive,2
1615,a174faa63c,Just found a tink cover for a wii remote but the people i know dont have a wii  fail,fail,negative,0
22108,48dbad2547,i feel really blessed to have super awesome best friends,blessed,positive,2
13112,f50757f5f5, Bummer   was going to try and make it/ other commitments I`m afraid got into the way.  Next time hopefully-,Bummer   was going to try and make it/ other commitments I`m afraid got into the way.  Next time hopefully,neutral,1
2433,a4191a25c3," yes I am, do you want to meet?","yes I am, do you want to meet?",neutral,1
3477,c98b54f57f,X-Men:Wolverine was hot! I say go watch it,was hot!,positive,2
2099,3aa7b273df, There is good cholesterol. There are no good tumors.,There is good cholesterol. There are no good tumors.,neutral,1
20591,67e9b94dcf,boys and girls lie? awww is santa not real either?,boys and girls lie? awww is santa not real either?,neutral,1
27323,44ba71de65,No u guys!  said California in an angry tweet to perez hilton! Jonathan was so upset he spelled California wrong,No u guys!  said California in an angry tweet to perez hilton! Jonathan was so upset he spelled California wrong,negative,0
3383,73aa4cbfbd," I had a joke for you, but it`s too long to tweet.","I had a joke for you, but it`s too long to tweet.",neutral,1
11704,667e8ed52f,Wishing  a Happy Mothers Day,Happy,positive,2
19025,0e26aab293,"  I`m sorry.....deep breaths, I started a program called panicaway...it has worked wonders.","I`m sorry.....deep breaths, I started a program called panicaway...it has worked wonders.",neutral,1
10306,40391be525,I`m way to sleepy.. Ill watch my shows lata..Good nite twit-fam!.. God bless!..XoXo,Good nite twit-fam!.. God bless!..,positive,2
17709,c8c3ef8aaf, u don`t love me  no follow..how was your night? ;-),u don`t love me  no follow..how was your night? ;-),neutral,1
6000,d60596aed5, any chance of seeing you at a race in germany? unfortunately hardly any tv & news coverage of cycling here anymore!,unfortunately,negative,0
11606,e76d98f88b,Chicken beer and good company makes a good night...,Chicken beer and good company makes a good night...,positive,2
6037,51f4f0fa48,"Pretty amazing weekend so far  but its bedtime ,, I`m exhausted ! Mothers day tomorrow  nighty night","Pretty amazing weekend so far  but its bedtime ,, I`m exhausted ! Mothers day tomorrow  nighty night",neutral,1
2679,0648056717, Keep the suggestions coming...I love the classics!,g...I love the classics!,positive,2
